exerciseName,field,oldValue,newValue,reason,confidence,sources
Gorilla Chin/Crunch,aliases,[],"[""Gorilla Crunch""]","Kept as a conservative bodyweight core crunch variant; no stronger structured reference was accessible, but the name still cleanly maps to a trunk-flexion abdominal movement.",medium,
Gorilla Chin/Crunch,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]","Kept as a conservative bodyweight core crunch variant; no stronger structured reference was accessible, but the name still cleanly maps to a trunk-flexion abdominal movement.",medium,
Adductor/Groin,secondaryMuscles,"[""Glutes"", ""Quadriceps"", ""Abdominals""]",[],Resolved as an adductor mobility/stretch record using ACE's adductor exercise library grouping as the taxonomy anchor.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
Adductor/Groin,difficulty,"""intermediate""","""beginner""",Resolved as an adductor mobility/stretch record using ACE's adductor exercise library grouping as the taxonomy anchor.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
Adductor/Groin,aliases,[],"[""Groin Stretch"", ""Adductor Stretch""]",Resolved as an adductor mobility/stretch record using ACE's adductor exercise library grouping as the taxonomy anchor.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
Adductor/Groin,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""source_ace""]",Resolved as an adductor mobility/stretch record using ACE's adductor exercise library grouping as the taxonomy anchor.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
Balance Board,primaryMuscle,"""Calves""","""Mobility""",Resolved conservatively as a balance/proprioception tool drill rather than a weighted strength movement.,medium,
Balance Board,primaryMuscles,"[""Calves""]","[""Mobility""]",Resolved conservatively as a balance/proprioception tool drill rather than a weighted strength movement.,medium,
Balance Board,secondaryMuscles,[],"[""Calves"", ""Core""]",Resolved conservatively as a balance/proprioception tool drill rather than a weighted strength movement.,medium,
Balance Board,category,"""strength""","""mobility""",Resolved conservatively as a balance/proprioception tool drill rather than a weighted strength movement.,medium,
Balance Board,isBodyweight,false,true,Resolved conservatively as a balance/proprioception tool drill rather than a weighted strength movement.,medium,
Balance Board,requiresExternalLoad,true,false,Resolved conservatively as a balance/proprioception tool drill rather than a weighted strength movement.,medium,
Balance Board,trackingType,"""weight_reps""","""duration""",Resolved conservatively as a balance/proprioception tool drill rather than a weighted strength movement.,medium,
Balance Board,movementPattern,"""push""","""isometric""",Resolved conservatively as a balance/proprioception tool drill rather than a weighted strength movement.,medium,
Balance Board,apparatus,"[""Other""]","[""Balance Board""]",Resolved conservatively as a balance/proprioception tool drill rather than a weighted strength movement.,medium,
Balance Board,difficulty,"""intermediate""","""beginner""",Resolved conservatively as a balance/proprioception tool drill rather than a weighted strength movement.,medium,
Balance Board,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a balance/proprioception tool drill rather than a weighted strength movement.,medium,
Heavy Bag Thrust,primaryMuscle,"""Chest""","""Conditioning""",Resolved conservatively as a striking/conditioning drill using a heavy bag rather than as a strict chest isolation exercise.,medium,
Heavy Bag Thrust,primaryMuscles,"[""Chest""]","[""Conditioning""]",Resolved conservatively as a striking/conditioning drill using a heavy bag rather than as a strict chest isolation exercise.,medium,
Heavy Bag Thrust,secondaryMuscles,"[""Triceps"", ""Shoulders"", ""Abdominals""]","[""Chest"", ""Shoulders"", ""Triceps"", ""Core""]",Resolved conservatively as a striking/conditioning drill using a heavy bag rather than as a strict chest isolation exercise.,medium,
Heavy Bag Thrust,equipment,"""Other""","""Conditioning""",Resolved conservatively as a striking/conditioning drill using a heavy bag rather than as a strict chest isolation exercise.,medium,
Heavy Bag Thrust,apparatus,"[""Other""]","[""Heavy Bag""]",Resolved conservatively as a striking/conditioning drill using a heavy bag rather than as a strict chest isolation exercise.,medium,
Heavy Bag Thrust,trackingType,"""weight_reps""","""duration""",Resolved conservatively as a striking/conditioning drill using a heavy bag rather than as a strict chest isolation exercise.,medium,
Heavy Bag Thrust,category,"""strength""","""cardio""",Resolved conservatively as a striking/conditioning drill using a heavy bag rather than as a strict chest isolation exercise.,medium,
Heavy Bag Thrust,movementPattern,"""push""","""locomotion""",Resolved conservatively as a striking/conditioning drill using a heavy bag rather than as a strict chest isolation exercise.,medium,
Heavy Bag Thrust,difficulty,"""advanced""","""intermediate""",Resolved conservatively as a striking/conditioning drill using a heavy bag rather than as a strict chest isolation exercise.,medium,
Heavy Bag Thrust,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a striking/conditioning drill using a heavy bag rather than as a strict chest isolation exercise.,medium,
Wrist Roller,secondaryMuscles,"[""Biceps""]",[],Resolved as a forearm-grip tool exercise with explicit apparatus.,medium,
Wrist Roller,apparatus,"[""Other""]","[""Wrist Roller""]",Resolved as a forearm-grip tool exercise with explicit apparatus.,medium,
Wrist Roller,movementPattern,"""pull""","""isometric""",Resolved as a forearm-grip tool exercise with explicit apparatus.,medium,
Wrist Roller,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved as a forearm-grip tool exercise with explicit apparatus.,medium,
90/90 Hamstring,secondaryMuscles,"[""Glutes"", ""Lower back"", ""Middle back"", ""Abdominals""]",[],Resolved as a hamstring mobility/stretch entry using ACE's stretch taxonomy as the anchor for a no-equipment mobility drill.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
90/90 Hamstring,movementPattern,"""hinge""","""isometric""",Resolved as a hamstring mobility/stretch entry using ACE's stretch taxonomy as the anchor for a no-equipment mobility drill.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
90/90 Hamstring,difficulty,"""intermediate""","""beginner""",Resolved as a hamstring mobility/stretch entry using ACE's stretch taxonomy as the anchor for a no-equipment mobility drill.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
90/90 Hamstring,aliases,[],"[""90/90 Hamstring Stretch""]",Resolved as a hamstring mobility/stretch entry using ACE's stretch taxonomy as the anchor for a no-equipment mobility drill.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
90/90 Hamstring,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""source_ace""]",Resolved as a hamstring mobility/stretch entry using ACE's stretch taxonomy as the anchor for a no-equipment mobility drill.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
Atlas Stone Trainer,secondaryMuscles,"[""Glutes"", ""Hamstrings"", ""Abdominals""]","[""Glutes"", ""Hamstrings""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Atlas Stone Trainer,movementPattern,"""locomotion""","""hinge""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Atlas Stone Trainer,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Atlas Stones,secondaryMuscles,"[""Glutes"", ""Hamstrings"", ""Abdominals""]","[""Glutes"", ""Hamstrings""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Atlas Stones,difficulty,"""intermediate""","""advanced""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Atlas Stones,movementPattern,"""locomotion""","""hinge""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Atlas Stones,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Keg Load,secondaryMuscles,"[""Glutes"", ""Hamstrings"", ""Abdominals""]","[""Glutes"", ""Hamstrings""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Keg Load,movementPattern,"""locomotion""","""hinge""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Keg Load,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Conan's Wheel,secondaryMuscles,"[""Glutes"", ""Hamstrings"", ""Adductors"", ""Abdominals""]","[""Glutes"", ""Hamstrings""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Conan's Wheel,movementPattern,"""locomotion""","""carry""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Conan's Wheel,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Tire Flip,secondaryMuscles,"[""Glutes"", ""Hamstrings"", ""Adductors"", ""Abdominals""]","[""Glutes"", ""Hamstrings""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Tire Flip,difficulty,"""intermediate""","""advanced""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Tire Flip,movementPattern,"""locomotion""","""hinge""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Tire Flip,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Yoke Walk,secondaryMuscles,"[""Glutes"", ""Hamstrings"", ""Adductors"", ""Abdominals""]","[""Glutes"", ""Hamstrings""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Yoke Walk,trackingType,"""duration_distance""","""weight_reps""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Yoke Walk,difficulty,"""intermediate""","""advanced""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Yoke Walk,movementPattern,"""locomotion""","""carry""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Yoke Walk,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Log Lift,secondaryMuscles,"[""Traps"", ""Abdominals""]","[""Traps""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Log Lift,difficulty,"""intermediate""","""advanced""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Log Lift,movementPattern,"""locomotion""","""push""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Log Lift,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Rack Delivery,secondaryMuscles,"[""Traps"", ""Abdominals""]","[""Traps""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Rack Delivery,movementPattern,"""locomotion""","""hinge""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Rack Delivery,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Atlas Stone Load,secondaryMuscles,"[""Glutes"", ""Hamstrings"", ""Middle back"", ""Biceps""]","[""Glutes"", ""Hamstrings""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Atlas Stone Load,movementPattern,"""locomotion""","""hinge""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Atlas Stone Load,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Sandbag Over Shoulder Toss,secondaryMuscles,"[""Glutes"", ""Hamstrings"", ""Middle back""]","[""Glutes"", ""Hamstrings""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Sandbag Over Shoulder Toss,movementPattern,"""locomotion""","""hinge""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Sandbag Over Shoulder Toss,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
